,County,Day,Cases,Population,Rate,TotalCount,TotalRate
2881,Florida,0,2,2095775,0.09543009149360021,2,0.09543009149360021
2882,Florida,1,2,2095775,0.09543009149360021,4,0.19086018298720042
2883,Florida,2,4,2095775,0.19086018298720042,8,0.38172036597440084
2884,Florida,3,1,2095775,0.047715045746800105,9,0.4294354117212009
2885,Florida,4,0,2095775,0.0,9,0.4294354117212009
2886,Florida,5,4,2095775,0.19086018298720042,13,0.6202955947084013
2887,Florida,6,1,2095775,0.047715045746800105,14,0.6680106404552014
2888,Florida,7,5,2095775,0.23857522873400053,19,0.9065858691892019
2889,Florida,8,3,2095775,0.14314513724040034,22,1.0497310064296022
2890,Florida,9,6,2095775,0.2862902744808007,28,1.3360212809104028
2891,Florida,10,7,2095775,0.33400532022760077,35,1.6700266011380036
2892,Florida,11,24,2095775,1.1451610979232028,59,2.815187699061206
2893,Florida,12,45,2095775,2.147177058606005,104,4.962364757667212
2894,Florida,13,33,2095775,1.5745965096444037,137,6.536961267311615
2895,Florida,14,32,2095775,1.5268814638976034,169,8.063842731209219
2896,Florida,15,70,2095775,3.340053202276007,239,11.403895933485225
2897,Florida,16,107,2095775,5.105509894907612,346,16.509405828392836
2898,Florida,17,87,2095775,4.151208979971609,433,20.660614808364446
2899,Florida,18,150,2095775,7.157256862020016,583,27.817871670384463
2900,Florida,19,217,2095775,10.354164927055624,800,38.17203659744008
2901,Florida,20,306,2095775,14.600803998520833,1106,52.772840595960915
2902,Florida,21,193,2095775,9.20900382913242,1299,61.981844425093335
2903,Florida,22,300,2095775,14.314513724040031,1599,76.29635814913337
2904,Florida,23,518,2095775,24.716393696842456,2117,101.01275184597583
2905,Florida,24,562,2095775,26.815855709701662,2679,127.8286075556775
2906,Florida,25,693,2095775,33.06652670253248,3372,160.89513425820996
2907,Florida,26,726,2095775,34.64112321217688,4098,195.53625747038683
2908,Florida,27,920,2095775,43.897842087056105,5018,239.43409955744295
2909,Florida,28,899,2095775,42.8958261263733,5917,282.32992568381627
2910,Florida,29,948,2095775,45.23386336796651,6865,327.5637890517828
2911,Florida,30,1080,2095775,51.53224940654412,7945,379.0960384583269
2912,Florida,31,1315,2095775,62.74528515704214,9260,441.84132361536905
2913,Florida,32,1334,2095775,63.65187102623135,10594,505.4931946416004
2914,Florida,33,1206,2095775,57.54434517064093,11800,563.0375398122413
2915,Florida,34,790,2095775,37.694886139972084,12590,600.7324259522134
2916,Florida,35,1225,2095775,58.45093103983013,13815,659.1833569920435
2917,Florida,36,1066,2095775,50.86423876608892,14881,710.0475957581324
2918,Florida,37,1100,2095775,52.486550321480124,15981,762.5341460796125
2919,Florida,38,1079,2095775,51.484534360797326,17060,814.0186804404098
2920,Florida,39,1141,2095775,54.44286719709893,18201,868.4615476375087
2921,Florida,40,1112,2095775,53.05913087044173,19313,921.5206785079505
2922,Florida,41,853,2095775,40.70093402202049,20166,962.221612529971
2923,Florida,42,435,2095775,20.756044899858047,20601,982.977657429829
