County,Day,Cases,Population
NYC,0,1,8398748
NYC,1,2,8398748
NYC,2,10,8398748
NYC,3,2,8398748
NYC,4,8,8398748
NYC,5,13,8398748
NYC,6,20,8398748
NYC,7,53,8398748
NYC,8,71,8398748
NYC,9,156,8398748
NYC,10,357,8398748
NYC,11,614,8398748
NYC,12,629,8398748
NYC,13,1008,8398748
NYC,14,2033,8398748
NYC,15,2335,8398748
NYC,16,2791,8398748
NYC,17,3463,8398748
NYC,18,3699,8398748
NYC,19,2179,8398748
NYC,20,2057,8398748
NYC,21,3114,8398748
NYC,22,3525,8398748
NYC,23,3837,8398748
NYC,24,3960,8398748
NYC,25,4010,8398748
NYC,26,2388,8398748
NYC,27,2652,8398748
NYC,28,4356,8398748
NYC,29,3710,8398748
NYC,30,3571,8398748
NYC,31,3905,8398748
NYC,32,3250,8398748
NYC,33,1091,8398748
