,County,Day,Cases,Week,Date,DayChange,Double,DayDouble
0,Alachua,1,0,1,3/2/20,,no,no
67,Alachua,2,0,1,3/3/20,0.0,no,no
134,Alachua,3,0,1,3/4/20,0.0,no,no
201,Alachua,4,0,1,3/5/20,0.0,no,no
268,Alachua,5,0,1,3/6/20,0.0,no,no
335,Alachua,6,0,1,3/7/20,0.0,no,no
402,Alachua,7,0,1,3/8/20,0.0,no,no
469,Alachua,8,0,2,3/9/20,0.0,no,no
536,Alachua,9,1,2,3/10/20,1.0,no,yes
603,Alachua,10,0,2,3/11/20,-1.0,yes,no
670,Alachua,11,0,2,3/12/20,0.0,no,no
737,Alachua,12,1,2,3/13/20,1.0,no,yes
804,Alachua,13,1,2,3/14/20,0.0,no,no
871,Alachua,14,0,2,3/15/20,-1.0,yes,no
938,Alachua,15,1,3,3/16/20,1.0,no,yes
1005,Alachua,16,2,3,3/17/20,1.0,no,yes
1072,Alachua,17,3,3,3/18/20,1.0,no,no
1139,Alachua,18,2,3,3/19/20,-1.0,no,no
1206,Alachua,19,5,3,3/20/20,3.0,no,yes
1273,Alachua,20,13,3,3/21/20,8.0,no,yes
1340,Alachua,21,6,3,3/22/20,-7.0,yes,no
