County,Week,Cases,WeekChange,WeekDouble
Alachua,1,0,0,no
Alachua,2,3,3,yes
Alachua,3,32,29,yes
Baker,1,0,0,no
Baker,2,0,0,no
Baker,3,2,2,yes
Bay,1,0,0,no
Bay,2,0,0,no
Bay,3,1,1,yes
Bradford,1,0,0,no
Bradford,2,0,0,no
Bradford,3,1,1,yes
Brevard,1,0,0,no
Brevard,2,0,0,no
Brevard,3,7,7,yes
Broward,1,2,2,no
Broward,2,39,37,yes
Broward,3,176,137,yes
Calhoun,1,0,0,no
Calhoun,2,0,0,no
Calhoun,3,0,0,no
Charlotte,1,0,0,no
Charlotte,2,1,1,yes
Charlotte,3,1,0,no
Citrus,1,0,0,no
Citrus,2,1,1,yes
Citrus,3,7,6,yes
Clay,1,0,0,no
Clay,2,3,3,yes
Clay,3,4,1,no
Collier,1,0,0,no
Collier,2,6,6,yes
Collier,3,27,21,yes
Columbia,1,0,0,no
Columbia,2,0,0,no
Columbia,3,2,2,yes
Dade,1,1,1,no
Dade,2,21,20,yes
Dade,3,206,185,yes
Desoto,1,0,0,no
Desoto,2,0,0,no
Desoto,3,1,1,yes
Dixie,1,0,0,no
Dixie,2,0,0,no
Dixie,3,0,0,no
Duval,1,0,0,no
Duval,2,4,4,yes
Duval,3,35,31,yes
Escambia,1,0,0,no
Escambia,2,0,0,no
Escambia,3,4,4,yes
Flagler,1,0,0,no
Flagler,2,0,0,no
Flagler,3,1,1,yes
Franklin,1,0,0,no
Franklin,2,0,0,no
Franklin,3,0,0,no
Gadsden,1,1,1,yes
Gadsden,2,0,-1,no
Gadsden,3,0,0,no
Gilchrist,1,0,0,no
Gilchrist,2,0,0,no
Gilchrist,3,0,0,no
Glades,1,0,0,no
Glades,2,0,0,no
Glades,3,0,0,no
Gulf,1,0,0,no
Gulf,2,0,0,no
Gulf,3,0,0,no
Hamilton,1,0,0,no
Hamilton,2,0,0,no
Hamilton,3,0,0,no
Hardee,1,0,0,no
Hardee,2,0,0,no
Hardee,3,0,0,no
Hendry,1,0,0,no
Hendry,2,0,0,no
Hendry,3,0,0,no
Hernando,1,0,0,no
Hernando,2,0,0,no
Hernando,3,5,5,yes
Highlands,1,0,0,no
Highlands,2,0,0,no
Highlands,3,1,1,yes
Hillsborough,1,2,2,yes
Hillsborough,2,4,2,yes
Hillsborough,3,52,48,yes
Holmes,1,0,0,no
Holmes,2,0,0,no
Holmes,3,0,0,no
Indian River,1,0,0,no
Indian River,2,0,0,no
Indian River,3,8,8,yes
Jackson,1,0,0,no
Jackson,2,0,0,no
Jackson,3,1,1,yes
Jefferson,1,0,0,no
Jefferson,2,0,0,no
Jefferson,3,0,0,no
Lafayette,1,0,0,no
Lafayette,2,0,0,no
Lafayette,3,0,0,no
Lake,1,0,0,no
Lake,2,1,1,yes
Lake,3,5,4,yes
Lee,1,2,2,no
Lee,2,4,2,yes
Lee,3,20,16,yes
Leon,1,1,1,no
Leon,2,0,-1,no
Leon,3,4,4,yes
Levy,1,0,0,no
Levy,2,0,0,no
Levy,3,0,0,no
Liberty,1,0,0,no
Liberty,2,0,0,no
Liberty,3,0,0,no
Madison,1,0,0,no
Madison,2,0,0,no
Madison,3,0,0,no
Manatee,1,1,1,yes
Manatee,2,3,2,yes
Manatee,3,9,6,yes
Marion,1,0,0,no
Marion,2,0,0,no
Marion,3,3,3,yes
Martin,1,0,0,no
Martin,2,0,0,no
Martin,3,2,2,yes
Monroe,1,0,0,no
Monroe,2,0,0,no
Monroe,3,1,1,yes
Nassau,1,0,0,no
Nassau,2,1,1,yes
Nassau,3,0,-1,no
Okaloosa,1,1,1,yes
Okaloosa,2,1,0,no
Okaloosa,3,12,11,yes
Okeechobee,1,0,0,no
Okeechobee,2,0,0,no
Okeechobee,3,0,0,no
Orange,1,0,0,no
Orange,2,4,4,yes
Orange,3,29,25,yes
Osceola,1,0,0,no
Osceola,2,4,4,yes
Osceola,3,20,16,yes
Palm Beach,1,1,1,no
Palm Beach,2,5,4,yes
Palm Beach,3,66,61,yes
Pasco,1,0,0,no
Pasco,2,2,2,yes
Pasco,3,9,7,yes
Pinellas,1,0,0,no
Pinellas,2,2,2,yes
Pinellas,3,36,34,yes
Polk,1,0,0,no
Polk,2,0,0,no
Polk,3,11,11,yes
Putnam,1,0,0,no
Putnam,2,0,0,no
Putnam,3,2,2,yes
Santa Rosa,1,1,1,no
Santa Rosa,2,0,-1,no
Santa Rosa,3,3,3,yes
Sarasota,1,0,0,no
Sarasota,2,2,2,yes
Sarasota,3,15,13,yes
Seminole,1,0,0,no
Seminole,2,4,4,yes
Seminole,3,15,11,yes
St. Johns,1,0,0,no
St. Johns,2,2,2,yes
St. Johns,3,14,12,yes
St. Lucie,1,0,0,no
St. Lucie,2,0,0,no
St. Lucie,3,3,3,yes
Sumter,1,0,0,no
Sumter,2,0,0,no
Sumter,3,5,5,yes
Suwannee,1,0,0,no
Suwannee,2,0,0,no
Suwannee,3,0,0,no
Taylor,1,0,0,no
Taylor,2,0,0,no
Taylor,3,0,0,no
Union,1,0,0,no
Union,2,0,0,no
Union,3,0,0,no
Volusia,1,1,1,yes
Volusia,2,6,5,yes
Volusia,3,7,1,no
Wakulla,1,0,0,no
Wakulla,2,0,0,no
Wakulla,3,0,0,no
Walton,1,0,0,no
Walton,2,0,0,no
Walton,3,4,4,yes
Washington,1,0,0,no
Washington,2,0,0,no
Washington,3,0,0,no
