Day,Week,Date
1,1,3/2/20
2,1,3/3/20
3,1,3/4/20
4,1,3/5/20
5,1,3/6/20
6,1,3/7/20
7,1,3/8/20
8,2,3/9/20
9,2,3/10/20
10,2,3/11/20
11,2,3/12/20
12,2,3/13/20
13,2,3/14/20
14,2,3/15/20
15,3,3/16/20
16,3,3/17/20
17,3,3/18/20
18,3,3/19/20
19,3,3/20/20
20,3,3/21/20
21,3,3/22/20
22,4,3/23/20
23,4,3/24/20
24,4,3/25/20
25,4,3/26/20
26,4,3/27/20
27,4,3/28/20
28,4,3/29/20
29,5,3/30/20
30,5,3/31/20
31,5,4/1/20
32,5,4/2/20
33,5,4/3/20
34,5,4/4/20
35,5,4/5/20
36,6,4/6/20
37,6,4/7/20
38,6,4/8/20
39,6,4/9/20
40,6,4/10/20
41,6,4/11/20
42,6,4/12/20
43,7,4/13/20
44,7,4/14/20
45,7,4/15/20
46,7,4/16/20
47,7,4/17/20
48,7,4/18/20
49,7,4/19/20
50,8,4/20/20
51,8,4/21/20
52,8,4/22/20
53,8,4/23/20
54,8,4/24/20
55,8,4/25/20
56,8,4/26/20
57,9,4/27/20
58,9,4/28/20
59,9,4/29/20
60,9,4/30/20
61,9,5/1/20
62,9,5/2/20
63,9,5/3/20
64,10,5/4/20
65,10,5/5/20
66,10,5/6/20
67,10,5/7/20
68,10,5/8/20
69,10,5/9/20
70,10,5/10/20
